DAC_Bits,Voltaje_DAC,Mediana_ADC1(34)_V,Mediana_ADC2(35)_V,Unnamed: 4,Vled,Iled,Vcc
29,0.375,0.384,0.255,,2.2800688,0.00255,2.4050688
30,0.388,0.386,0.268,,2.2795952,0.00268,2.4175952
31,0.401,0.389,0.278,,2.2883848,0.0027800000000000004,2.4363848000000004
32,0.414,0.394,0.295,,2.3027008,0.00295,2.4677008000000002
33,0.427,0.397,0.305,,2.3114904,0.0030499999999999998,2.4864904
34,0.44,0.4,0.314,,2.3212800000000002,0.00314,2.5052800000000004
35,0.453,0.401,0.327,,2.3145432,0.0032700000000000003,2.5115432
36,0.466,0.401,0.337,,2.3045432,0.00337,2.5115432
37,0.479,0.407,0.348,,2.3311224,0.0034799999999999996,2.5491224
38,0.492,0.409,0.361,,2.3306487999999996,0.00361,2.5616488
39,0.505,0.411,0.372,,2.3321752,0.0037199999999999998,2.5741752
40,0.518,0.417,0.383,,2.3587544,0.00383,2.6117544
41,0.531,0.421,0.392,,2.3748072000000002,0.00392,2.6368072000000002
42,0.544,0.423,0.405,,2.3743336,0.004050000000000001,2.6493336
43,0.556,0.425,0.422,,2.3698599999999996,0.00422,2.66186
44,0.569,0.426,0.43,,2.3681232,0.0043,2.6681232
45,0.582,0.43,0.444,,2.379176,0.00444,2.6931760000000002
46,0.595,0.434,0.453,,2.3952288000000004,0.00453,2.7182288000000003
47,0.608,0.435,0.465,,2.389492,0.0046500000000000005,2.724492
48,0.621,0.438,0.477,,2.3962816,0.00477,2.7432816
49,0.634,0.44,0.488,,2.397808,0.00488,2.755808
50,0.647,0.443,0.501,,2.4035976000000003,0.00501,2.7745976000000003
51,0.66,0.447,0.51,,2.4196504,0.0051,2.7996504
52,0.673,0.45,0.52,,2.42844,0.0052,2.8184400000000003
53,0.686,0.451,0.531,,2.4237032,0.0053100000000000005,2.8247032
54,0.699,0.452,0.546,,2.4149664,0.0054600000000000004,2.8309664000000003
55,0.712,0.454,0.555,,2.4184928,0.00555,2.8434928000000004
56,0.725,0.457,0.567,,2.4252824000000004,0.00567,2.8622824000000002
57,0.738,0.46,0.579,,2.432072,0.00579,2.881072
58,0.751,0.463,0.586,,2.4438616000000004,0.00586,2.8998616000000004
