dac_value,dac_voltage,adc34_bits,adc34_voltage,adc35_bits,adc35_voltage,V_led,Iled
150,1.941,683,0.55,2293,1.848,1.4520000000000002,0.01848
151,1.954,686,0.553,2308,1.86,1.4580000000000004,0.018600000000000002
152,1.967,688,0.554,2323,1.872,1.4520000000000002,0.01872
153,1.98,691,0.557,2340,1.886,1.4560000000000006,0.01886
154,1.993,693,0.558,2353,1.896,1.4520000000000004,0.018959999999999998
155,2.006,697,0.562,2367,1.907,1.4650000000000003,0.01907
156,2.019,701,0.565,2384,1.921,1.4689999999999996,0.01921
157,2.032,703,0.567,2401,1.935,1.4669999999999996,0.01935
158,2.045,706,0.569,2416,1.947,1.4669999999999996,0.01947
159,2.058,709,0.571,2430,1.958,1.4679999999999997,0.01958
160,2.071,711,0.573,2447,1.972,1.4659999999999997,0.01972
161,2.084,717,0.578,2461,1.983,1.4849999999999999,0.01983
162,2.096,718,0.579,2477,1.996,1.4779999999999998,0.01996
163,2.109,720,0.58,2490,2.007,1.4729999999999994,0.02007
164,2.122,721,0.581,2507,2.02,1.4659999999999997,0.0202
165,2.135,725,0.584,2519,2.03,1.4739999999999998,0.0203
166,2.148,727,0.586,2541,2.048,1.468,0.02048
167,2.161,729,0.587,2549,2.054,1.468,0.02054
168,2.174,735,0.592,2567,2.069,1.4829999999999997,0.02069
169,2.187,736,0.593,2590,2.087,1.4709999999999996,0.020870000000000003
170,2.2,739,0.596,2605,2.099,1.4769999999999994,0.02099
171,2.213,741,0.597,2613,2.106,1.476,0.02106
172,2.226,745,0.6,2635,2.123,1.4769999999999994,0.021230000000000002
173,2.239,751,0.605,2649,2.135,1.495,0.021349999999999997
174,2.252,752,0.606,2665,2.148,1.488,0.021480000000000003
175,2.265,753,0.607,2675,2.156,1.4859999999999998,0.021560000000000003
176,2.278,754,0.608,2688,2.166,1.4819999999999998,0.02166
177,2.291,757,0.61,2704,2.179,1.4810000000000003,0.021789999999999997
178,2.304,761,0.613,2720,2.192,1.4859999999999998,0.021920000000000002
179,2.316,763,0.615,2737,2.206,1.484,0.02206
180,2.329,768,0.619,2753,2.219,1.495,0.022189999999999998
181,2.342,770,0.621,2768,2.231,1.495,0.02231
182,2.355,771,0.621,2783,2.243,1.483,0.02243
183,2.368,775,0.625,2799,2.256,1.4940000000000002,0.022559999999999997
184,2.381,778,0.627,2813,2.267,1.495,0.02267
185,2.394,783,0.631,2831,2.281,1.505,0.02281
186,2.407,784,0.632,2843,2.291,1.501,0.02291
187,2.42,786,0.633,2862,2.306,1.492,0.02306
188,2.433,788,0.635,2878,2.319,1.491,0.02319
189,2.446,790,0.637,2893,2.331,1.491,0.02331
190,2.459,795,0.641,2911,2.346,1.5,0.02346
191,2.472,797,0.642,2928,2.36,1.4920000000000004,0.0236
192,2.485,798,0.643,2937,2.367,1.491,0.02367
193,2.498,803,0.647,2951,2.378,1.504,0.023780000000000003
194,2.511,805,0.649,2973,2.396,1.4980000000000002,0.02396
195,2.524,809,0.652,2987,2.407,1.505,0.02407
196,2.536,814,0.656,3002,2.419,1.517,0.02419
197,2.549,816,0.658,3022,2.435,1.5130000000000003,0.02435
198,2.562,816,0.658,3032,2.443,1.5050000000000003,0.02443
199,2.575,817,0.658,3055,2.462,1.4860000000000002,0.024620000000000003
200,2.588,821,0.662,3081,2.483,1.4890000000000003,0.02483
201,2.601,823,0.663,3092,2.492,1.4860000000000002,0.02492
202,2.614,829,0.668,3113,2.509,1.499,0.025089999999999998
203,2.627,832,0.67,3130,2.522,1.4980000000000007,0.02522
204,2.64,832,0.67,3146,2.535,1.4850000000000003,0.02535
205,2.653,835,0.673,3163,2.549,1.4890000000000003,0.02549
206,2.666,838,0.675,3184,2.566,1.4840000000000009,0.02566
207,2.679,841,0.678,3201,2.58,1.4880000000000004,0.0258
208,2.692,845,0.681,3217,2.592,1.4940000000000002,0.025920000000000002
209,2.705,848,0.683,3237,2.609,1.4890000000000008,0.02609
210,2.718,848,0.683,3255,2.623,1.4750000000000005,0.026230000000000003
211,2.731,851,0.686,3271,2.636,1.4800000000000004,0.02636
212,2.744,855,0.689,3294,2.655,1.4789999999999996,0.026549999999999997
213,2.756,857,0.691,3313,2.67,1.476,0.026699999999999998
214,2.769,859,0.692,3332,2.685,1.4669999999999992,0.02685
215,2.782,862,0.695,3351,2.7,1.4699999999999998,0.027000000000000003
216,2.795,865,0.697,3373,2.718,1.4639999999999995,0.02718
217,2.808,869,0.7,3392,2.733,1.4669999999999992,0.02733
218,2.821,871,0.702,3420,2.756,1.456,0.027559999999999998
219,2.834,877,0.707,3439,2.771,1.471,0.02771
220,2.847,880,0.709,3465,2.792,1.4619999999999997,0.027919999999999997
221,2.86,880,0.709,3486,2.809,1.4449999999999994,0.02809
222,2.873,882,0.711,3506,2.825,1.4409999999999998,0.02825
223,2.886,885,0.713,3530,2.845,1.4329999999999994,0.028450000000000003
224,2.899,887,0.715,3548,2.859,1.431,0.02859
225,2.912,891,0.718,3578,2.883,1.4249999999999998,0.02883
226,2.925,893,0.72,3608,2.908,1.4120000000000004,0.029079999999999998
