dac_value,dac_voltage,adc34_bits,adc34_voltage,adc35_bits,adc35_voltage,V_led,Iled
124,1.605,838,0.675,1922,1.549,2.501000000000001,0.015489999999999999
125,1.618,842,0.679,1940,1.563,2.511,0.015629999999999998
126,1.631,845,0.681,1951,1.572,2.5140000000000002,0.01572
127,1.644,847,0.683,1969,1.587,2.511000000000001,0.01587
128,1.656,851,0.686,2001,1.613,2.5030000000000006,0.01613
129,1.669,855,0.689,2015,1.624,2.5099999999999993,0.01624
130,1.682,858,0.691,2032,1.638,2.508,0.01638
131,1.695,862,0.695,2047,1.65,2.52,0.0165
132,1.708,865,0.697,2064,1.663,2.5189999999999992,0.01663
133,1.721,865,0.697,2087,1.682,2.4999999999999996,0.016819999999999998
134,1.734,870,0.701,2096,1.689,2.5169999999999995,0.016890000000000002
135,1.747,874,0.704,2110,1.7,2.524,0.017
136,1.76,878,0.708,2127,1.714,2.5339999999999994,0.01714
137,1.773,880,0.709,2142,1.726,2.5279999999999996,0.01726
138,1.786,881,0.71,2150,1.733,2.5269999999999997,0.01733
139,1.799,884,0.712,2171,1.75,2.5220000000000002,0.0175
140,1.812,886,0.714,2187,1.762,2.522,0.01762
141,1.825,891,0.718,2199,1.772,2.5359999999999996,0.01772
142,1.838,892,0.719,2216,1.786,2.528,0.01786
143,1.851,895,0.721,2232,1.799,2.5269999999999997,0.01799
144,1.864,898,0.724,2240,1.805,2.5389999999999997,0.01805
145,1.876,901,0.726,2258,1.82,2.5359999999999996,0.0182
146,1.889,903,0.728,2270,1.829,2.5390000000000006,0.01829
147,1.902,907,0.731,2286,1.842,2.544,0.018420000000000002
148,1.915,909,0.733,2301,1.854,2.5439999999999996,0.01854
149,1.928,912,0.735,2320,1.87,2.54,0.0187
150,1.941,915,0.737,2332,1.879,2.5429999999999997,0.01879
151,1.954,917,0.739,2348,1.892,2.5420000000000003,0.01892
152,1.967,918,0.74,2361,1.903,2.5369999999999995,0.019030000000000002
153,1.98,924,0.745,2377,1.916,2.554,0.01916
154,1.993,927,0.747,2390,1.926,2.556,0.01926
155,2.006,930,0.749,2407,1.94,2.554,0.0194
