dac_value,dac_voltage,adc34_bits,adc34_voltage,adc35_bits,adc35_voltage,V_led,Iled
226,2.925,879,0.708,3601,2.902,1.3459999999999992,0.02902
227,2.938,880,0.709,3632,2.927,1.3269999999999995,0.02927
228,2.951,883,0.712,3650,2.941,1.3310000000000004,0.02941
229,2.964,885,0.713,3673,2.96,1.3179999999999996,0.0296
230,2.976,887,0.715,3706,2.987,1.303,0.02987
231,2.989,890,0.717,3728,3.004,1.2979999999999996,0.03004
232,3.002,893,0.72,3750,3.022,1.2980000000000005,0.030219999999999997
233,3.015,895,0.721,3777,3.044,1.2819999999999996,0.030440000000000002
234,3.028,897,0.723,3809,3.07,1.2680000000000002,0.030699999999999998
235,3.041,901,0.726,3830,3.086,1.27,0.03086
236,3.054,906,0.73,3856,3.107,1.2729999999999997,0.03107
237,3.067,908,0.732,3889,3.134,1.2579999999999996,0.03134
238,3.08,910,0.733,3919,3.158,1.2399999999999998,0.03158
239,3.093,912,0.735,3938,3.173,1.237,0.03173
240,3.106,912,0.735,3966,3.196,1.214,0.03196
241,3.119,915,0.737,3991,3.216,1.2059999999999995,0.03216
242,3.132,916,0.738,4020,3.24,1.1879999999999997,0.032400000000000005
243,3.145,919,0.741,4048,3.262,1.1839999999999997,0.03262
244,3.158,923,0.744,4078,3.286,1.1780000000000004,0.03286
245,3.171,927,0.747,4095,3.3,1.1820000000000004,0.033
246,3.184,929,0.749,4095,3.3,1.194,0.033
247,3.196,930,0.749,4095,3.3,1.194,0.033
248,3.209,934,0.753,4095,3.3,1.218,0.033
249,3.222,938,0.756,4095,3.3,1.2359999999999998,0.033
250,3.235,941,0.758,4095,3.3,1.2480000000000002,0.033
251,3.248,943,0.76,4095,3.3,1.2600000000000007,0.033
252,3.261,944,0.761,4095,3.3,1.266,0.033
253,3.274,944,0.761,4095,3.3,1.266,0.033
254,3.287,947,0.763,4095,3.3,1.2780000000000005,0.033
255,3.3,949,0.765,4095,3.3,1.29,0.033
