dac_value,dac_voltage,adc34_bits,adc34_voltage,adc35_bits,adc35_voltage,current,voltage
206,2.666,1118,0.901,3241,2.612,0.00901,1.711
207,2.679,1121,0.903,3259,2.626,0.00903,1.723
208,2.692,1123,0.905,3273,2.638,0.00905,1.733
209,2.705,1125,0.907,3294,2.655,0.00907,1.748
210,2.718,1131,0.911,3312,2.669,0.00911,1.758
211,2.731,1133,0.913,3335,2.688,0.00913,1.775
212,2.744,1136,0.915,3355,2.704,0.00915,1.789
213,2.756,1136,0.915,3377,2.721,0.00915,1.806
214,2.769,1139,0.918,3395,2.736,0.00918,1.818
215,2.782,1143,0.921,3422,2.758,0.00921,1.837
216,2.795,1145,0.923,3440,2.772,0.00923,1.849
217,2.808,1148,0.925,3462,2.79,0.00925,1.865
218,2.821,1151,0.928,3485,2.808,0.00928,1.88
219,2.834,1154,0.93,3506,2.825,0.0093,1.895
220,2.847,1157,0.932,3531,2.845,0.00932,1.913
221,2.86,1158,0.933,3552,2.862,0.00933,1.929
222,2.873,1162,0.936,3568,2.875,0.00936,1.939
223,2.886,1166,0.94,3610,2.909,0.0094,1.969
224,2.899,1168,0.941,3637,2.931,0.00941,1.99
225,2.912,1170,0.943,3658,2.948,0.00943,2.005
226,2.925,1173,0.945,3682,2.967,0.00945,2.022
227,2.938,1178,0.949,3703,2.984,0.00949,2.035
228,2.951,1181,0.952,3734,3.009,0.00952,2.057
229,2.964,1183,0.953,3760,3.03,0.00953,2.077
230,2.976,1187,0.957,3784,3.049,0.00957,2.092
231,2.989,1190,0.959,3808,3.069,0.00959,2.11
232,3.002,1195,0.963,3831,3.087,0.00963,2.124
233,3.015,1197,0.965,3865,3.115,0.00965,2.15
234,3.028,1199,0.966,3894,3.138,0.00966,2.172
235,3.041,1200,0.967,3919,3.158,0.00967,2.191
236,3.054,1201,0.968,3949,3.182,0.00968,2.214
237,3.067,1205,0.971,3978,3.206,0.00971,2.235
238,3.08,1209,0.974,4006,3.228,0.00974,2.254
239,3.093,1211,0.976,4037,3.253,0.00976,2.277
240,3.106,1214,0.978,4055,3.268,0.00978,2.29
241,3.119,1216,0.98,4083,3.29,0.0098,2.31
242,3.132,1218,0.982,4095,3.3,0.00982,2.318
243,3.145,1222,0.985,4095,3.3,0.00985,2.315
244,3.158,1227,0.989,4095,3.3,0.00989,2.311
245,3.171,1229,0.99,4095,3.3,0.0099,2.31
246,3.184,1232,0.993,4095,3.3,0.00993,2.307
247,3.196,1233,0.994,4095,3.3,0.00994,2.306
248,3.209,1235,0.995,4095,3.3,0.00995,2.305
249,3.222,1239,0.998,4095,3.3,0.00998,2.302
250,3.235,1242,1.001,4095,3.3,0.01001,2.299
251,3.248,1245,1.003,4095,3.3,0.01003,2.297
252,3.261,1249,1.007,4095,3.3,0.01007,2.293
253,3.274,1250,1.007,4095,3.3,0.01007,2.293
254,3.287,1253,1.01,4095,3.3,0.0101,2.29
255,3.3,1255,1.011,4095,3.3,0.01011,2.289
